date,demand_score,bottleneck_score,substitution_score,stress_score,breadth_score,regime
2026-04-24,52.3,60.4,91.9,18.7,81.2,Mixed / Transition
2026-04-27,52.6,56.0,87.2,19.4,78.6,Mixed / Transition
2026-04-28,51.9,56.9,86.9,24.7,75.0,Mixed / Transition
2026-04-29,46.6,53.1,89.1,20.2,69.6,Mixed / Transition
2026-04-30,43.5,50.5,92.7,20.1,69.6,Mixed / Transition
2026-05-01,46.3,51.1,94.3,14.6,67.9,Mixed / Transition
2026-05-04,51.7,54.2,93.4,8.8,70.5,Mixed / Transition
2026-05-05,51.8,51.0,93.5,6.5,70.5,Mixed / Transition
2026-05-06,50.7,40.2,87.9,6.9,66.1,Mixed / Transition
2026-05-07,51.3,34.1,79.0,14.1,59.8,Mixed / Transition
2026-05-08,44.1,34.8,79.9,21.6,53.6,Mixed / Transition
2026-05-11,34.4,30.4,80.2,18.4,55.4,Mixed / Transition
2026-05-12,33.1,31.6,72.2,41.3,52.7,Mixed / Transition
2026-05-13,34.8,36.9,68.9,22.8,54.5,Mixed / Transition
2026-05-14,35.8,41.2,67.5,13.7,59.8,Mixed / Transition
2026-05-15,39.1,42.1,66.0,22.2,53.6,Mixed / Transition
2026-05-18,38.3,36.5,61.3,46.2,44.6,Mixed / Transition
2026-05-19,35.6,37.9,67.1,52.3,37.5,Mixed / Transition
2026-05-20,32.5,38.3,71.5,52.0,47.3,Mixed / Transition
2026-05-21,36.2,44.5,75.9,20.8,52.7,Mixed / Transition
2026-05-22,34.2,44.8,85.0,18.7,58.0,Mixed / Transition
